,title,price,rating,date,availability
0,"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",$304.99,4.3 out of 5 stars,2024-07-30,In Stock
1,"ASUS 15.6” Vivobook Go Laptop, Intel Celeron N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",$189.99,4.2 out of 5 stars,2024-07-30,In Stock
2,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$299.99,4.2 out of 5 stars,2024-07-30,In Stock
3,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 16GB RAM, 128GB Storage(64GB eMMC+64GB Ghost Manta SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$339.99,4.1 out of 5 stars,2024-07-30,In Stock
4,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$218.00,4.1 out of 5 stars,2024-07-30,Only 10 left in stock - order soon.
5,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",$249.99,4.5 out of 5 stars,2024-07-30,In Stock
6,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",$509.00,4.3 out of 5 stars,2024-07-30,Only 3 left in stock - order soon.
7,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S mode, 14-dq5009nr (2024)",$349.00,3.9 out of 5 stars,2024-07-30,
8,"HP Notebook Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Type-C, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Silver",$437.98,4.2 out of 5 stars,2024-07-30,Only 3 left in stock - order soon.
9,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$187.50,3.9 out of 5 stars,2024-07-30,In Stock
10,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$278.10,4.4 out of 5 stars,2024-07-30,In Stock
11,"acer Chromebook Spin 514 CP514-1H-R0VX Laptop | AMD Ryzen 3 3250C | 14"" FHD IPS Touch Display | 8GB DDR4 | 64GB eMMC | Wi-Fi 5 | HD Webcam | Backlit Keyboard | Chrome OS | Sleeve | Mouse | Green",$334.90,4.5 out of 5 stars,2024-07-30,In Stock
12,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB eMMC + 128GB USB Card), Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold",$299.00,4.4 out of 5 stars,2024-07-30,Only 3 left in stock - order soon.
13,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",$296.00,4.2 out of 5 stars,2024-07-30,In Stock
14,"Lenovo Newest 15.6"" FHD Laptop, Intel Pentium N6000 Quad-core Processor, 16GB Memory, 1TB SSD Storage, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Windows 11 Home, WOWPC USB Bundle",$375.99,4.2 out of 5 stars,2024-07-30,In Stock
15,"Lenovo Newest 15.6"" Laptop, Intel Pentium 4-core Processor, 15.6"" FHD Anti-Glare Display, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Webcam (Windows 11 Home, 40GB RAM | 1TB SSD)",$549.99,4.4 out of 5 stars,2024-07-30,In Stock
16,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,164.99",4.3 out of 5 stars,2024-07-30,In Stock
